"Reference","Qty","Value","Description","Footprint","Digikey","Mouser","Other"
"BT1","1","CR2032","CR2032","6502 Parts:BAT_BAT-HLD-001-THM","BAT-HLD-001-THM-ND","712-BAT-HLD-001-THM",""
"C1,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","23","100nF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","478-5732-ND","",""
"C2,C3,C5,C6,C8","5","1uF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","478-7667-ND","",""
"C4,C7","2","2.2nF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","478-SR151C222KAATR1CT-ND","",""
"D1","1","POWER LED","3.0mm LED","LED_THT:LED_D3.0mm","732-5008-ND","","https://www.amazon.com/300-Pcs-LED-Diode-Assortment/dp/B0F38LJDJB"
"D2,D3","2","BAT85","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","BAT85SCT-ND","78-BAT85S","https://www.amazon.com/gp/product/B0CKSNPVH8"
"J1","1","PHI2 SELECT","Pin Header 1x3 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J2","1","CTS EN","Pin Header 1x3 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J3","1","RESET SW","Pin Header 1x2 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J4","1","DCD EN","Pin Header 1x3 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J5","1","VDD","Pin Header 1x2 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J6","1","JOYSTICK A","DB-9 Male","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1481-ND","649-D09P33E4GX00LF",""
"J7","1","PADDLES","Pin Header 1x4 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J8","1","JOYSTICK B","DB-9 Male","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1481-ND","649-D09P33E4GX00LF",""
"J9","1","PORT B","Box Header 2x6 2.54mm","6502 Parts:6502 GPIO Connector","2057-BHR-12-VUA-ND","","https://www.amazon.com/uxcell-2-54mm-2x6-Pin-Straight-Connector/dp/B07DJYVZV2"
"J10","1","PORT A","Box Header 2x6 2.54mm","6502 Parts:6502 GPIO Connector","2057-BHR-12-VUA-ND","","https://www.amazon.com/uxcell-2-54mm-2x6-Pin-Straight-Connector/dp/B07DJYVZV2"
"J11","1","AUDIO L","RCA Jack","6502 Parts:SWITCHCRAFT_PJRAN1X1U0XX","PJRAN1X1U02X-ND","502-PJRAN1X1U02X",""
"J12","1","DB9 MALE (DTE)","DB-9 Male","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1481-ND","649-D09P33E4GX00LF",""
"J13","1","PS/2","6-pin Mini-DIN connector","6502 Parts:KMDGX-6S-BS","","","https://www.amazon.com/dp/B08GS3QL7T"
"J14","1","AUDIO R","RCA Jack","6502 Parts:SWITCHCRAFT_PJRAN1X1U0XX","PJRAN1X1U03X-ND","502-PJRAN1X1U03X",""
"J15","1","AUDIO","Pin Header 1x2 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J16","1","5V DC","DC Barrel Jack","Connector_BarrelJack:BarrelJack_Horizontal","2073-DCJ200-10-A-K1-K-ND","640-DCJ200-10-A-K1-K",""
"J17","1","CART","Card Edge Connector 2x20 2.54mm","6502 Parts:RHDR40W82P485X254_2X20_5740X93","A31723-ND","571-5-5530843-4",""
"J18","1","BUS","Box Header 2x20 2.54mm","6502 Parts:6502 Bus Connector","","",""
"J19","1","VCC","Pin Header 1x2 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J20","1","POWER LED","Pin Header 1x2 2.54mm","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J21","1","STORAGE","Pin Socket 2x10 2.54mm Horizontal","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Horizontal","S5563-ND","",""
"J22","1","KEYBOARD","Pin Header 1x16 2.00mm","Connector_PinHeader_2.00mm:PinHeader_1x16_P2.00mm_Vertical","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36","34","1k","1/8 W Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","RNF18FTD1K00CT-ND","","https://www.amazon.com/ALLECIN-8W-Metal-Film-Resistor/dp/B0C77TM3NR"
"R26","1","330","1/8 W Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","","https://www.amazon.com/ALLECIN-8W-Metal-Film-Resistor/dp/B0C77TM3NR"
"SW1","1","`","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW2","1","1","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW3","1","2","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW4","1","3","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW5","1","4","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW6","1","5","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW7","1","6","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW8","1","7","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW9","1","8","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW10","1","9","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW11","1","0","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW12","1","-","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW13","1","=","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW14","1","BACKSPACE","Cherry MX Switch","6502 Parts:SW_Cherry_MX_2.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW15","1","ESCAPE","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW16","1","TAB","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.50u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW17","1","Q","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW18","1","W","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW19","1","E","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW20","1","R","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW21","1","T","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW22","1","Y","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW23","1","U","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW24","1","I","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW25","1","O","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW26","1","P","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW27","1","[","Cherry MX Switch","6502 Parts:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
