Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BAT-HLD-001-THM,1,CR2032,BAT-HLD-001-THM
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,23,100nF,
"C2, C3, C5, C6, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,5,1uF,
"C4, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,2.2nF,
D1,LED_D3.0mm,1,POWER LED,
"D2, D3",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT85,
J1,PinHeader_1x03_P2.54mm_Vertical,1,PHI2 SELECT,
J10,6502 GPIO Connector,1,PORT A,
J11,SWITCHCRAFT_PJRAN1X1U0XX,1,AUDIO L,
J12,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB9 MALE (DTE),D09P33E4GX00LF
J13,KMDGX-6S-BS,1,PS/2,
J14,SWITCHCRAFT_PJRAN1X1U0XX,1,AUDIO R,
J15,PinHeader_1x02_P2.54mm_Vertical,1,AUDIO,
J16,BarrelJack_Horizontal,1,5V DC,
J17,RHDR40W82P485X254_2X20_5740X93,1,CART,
J18,6502 Bus Connector,1,BUS,
J19,PinHeader_1x02_P2.54mm_Vertical,1,VCC,
J2,PinHeader_1x03_P2.54mm_Vertical,1,CTS EN,
J20,PinHeader_1x02_P2.54mm_Vertical,1,POWER LED,
J21,PinSocket_2x10_P2.54mm_Horizontal,1,STORAGE,PPPC102LJBN-RC
J22,PinHeader_1x16_P2.00mm_Vertical,1,KEYBOARD,
J3,PinHeader_1x02_P2.54mm_Vertical,1,RESET SW,
J4,PinHeader_1x03_P2.54mm_Vertical,1,DCD EN,
J5,PinHeader_1x02_P2.54mm_Vertical,1,VDD,
J6,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,JOYSTICK A,D09P33E4GX00LF
J7,PinHeader_1x04_P2.54mm_Vertical,1,PADDLES,
