Designator,Mid X,Mid Y,Rotation,Layer
BT1,140.4,-84.6,180.0,top
C1,367.0788,-137.7242,90.0,top
C10,138.174,-189.942,0.0,top
C11,152.652,-189.942,0.0,top
C12,149.79,-106.28,270.0,top
C13,184.17,-157.05,0.0,top
C14,179.25,-171.75,90.0,top
C15,193.0,-132.55,90.0,top
C16,213.3,-171.35,90.0,top
C17,250.1,-135.05,270.0,top
C18,238.675,-171.325,90.0,top
C19,255.0,-171.325,90.0,top
C2,158.984,-96.774,180.0,top
C20,223.925,-104.375,90.0,top
C21,274.675,-111.05,180.0,top
C22,309.5,-122.425,90.0,top
C23,314.7,-163.025,90.0,top
C24,343.495,-146.575,270.0,top
C25,320.25,-177.2,0.0,top
C26,314.225,-205.85,270.0,top
C27,363.375,-204.55,0.0,top
C28,377.625,-172.125,90.0,top
C29,395.825,-173.425,0.0,top
C3,158.984,-114.808,0.0,top
C30,389.35,-209.4,180.0,top
C4,285.42,-116.01,90.0,top
C5,165.334,-96.774,0.0,top
C6,165.334,-114.808,0.0,top
C7,285.48,-122.37,90.0,top
C8,280.5,-101.25,180.0,top
C9,123.696,-189.942,0.0,top
D1,109.728,-116.0,180.0,top
D2,388.07,-184.69,90.0,top
D3,388.07,-200.19,90.0,top
J1,218.5,-123.6,0.0,top
J10,313.65,-81.27,90.0,top
J11,292.0,-81.725,180.0,top
J12,171.5,-85.0,180.0,top
J13,198.75,-83.9,0.0,top
J14,280.0,-81.725,180.0,top
J15,280.495,-94.0,90.0,top
J16,117.65,-86.125,270.0,top
J17,123.9255,-153.162,90.0,top
J18,109.77,-153.13,180.0,top
J19,141.5,-106.27,0.0,top
J2,185.49,-126.68,180.0,top
J20,134.0,-106.27,0.0,top
J21,373.634,-132.49,180.0,top
J22,296.525,-215.475,90.0,top
J3,406.0,-213.27,0.0,top
J4,157.5,-126.75,180.0,top
J5,305.795,-109.73,180.0,top
J6,370.5,-85.0,180.0,top
J7,293.0,-94.0,90.0,top
J8,404.4,-85.0,180.0,top
J9,339.65,-81.27,90.0,top
R1,193.0,-117.21,90.0,top
R10,312.628,-95.54,270.0,top
R11,315.168,-95.54,270.0,top
R12,317.708,-95.54,270.0,top
R13,320.248,-95.54,270.0,top
R14,322.788,-95.54,270.0,top
R16,330.8,-95.54,270.0,top
R17,333.34,-95.54,270.0,top
R18,335.88,-95.54,270.0,top
R19,338.42,-95.54,270.0,top
R2,144.78,-164.592,0.0,top
R20,340.96,-95.54,270.0,top
R21,343.5,-95.54,270.0,top
R22,346.04,-95.54,270.0,top
R23,348.58,-95.54,270.0,top
R24,292.79,-101.25,0.0,top
R25,108.5,-192.272,270.0,top
R26,136.59,-114.8,0.0,top
R27,383.79,-183.46,270.0,top
R28,184.658,-184.658,90.0,top
R29,302.006,-176.53,0.0,top
R3,144.822,-169.672,0.0,top
R30,302.006,-179.07,0.0,top
R31,302.006,-181.61,0.0,top
R32,302.006,-184.15,0.0,top
R33,302.006,-186.69,0.0,top
R34,302.006,-189.23,0.0,top
R35,302.006,-191.77,0.0,top
R36,302.006,-194.31,0.0,top
R4,144.78,-172.212,0.0,top
R5,144.78,-167.132,0.0,top
R6,343.47,-139.04,90.0,top
R7,305.008,-95.54,270.0,top
R8,307.548,-95.54,270.0,top
R9,310.088,-95.54,270.0,top
SW1,120.0,-227.91,0.0,top
SW10,291.45,-227.91,0.0,top
SW11,310.5,-227.91,0.0,top
SW12,329.55,-227.91,0.0,top
SW13,348.6,-227.91,0.0,top
SW14,377.2,-230.8575,0.0,top
SW15,415.275,-227.91,0.0,top
SW16,124.775,-246.96,0.0,top
SW17,148.575,-246.96,0.0,top
SW18,167.625,-246.96,0.0,top
SW19,186.675,-246.96,0.0,top
SW2,139.05,-227.91,0.0,top
SW20,205.725,-246.96,0.0,top
SW21,224.775,-246.96,0.0,top
SW22,243.825,-246.96,0.0,top
SW23,262.875,-246.96,0.0,top
SW24,281.925,-246.96,0.0,top
SW25,300.975,-246.96,0.0,top
SW26,320.025,-246.96,0.0,top
SW27,339.075,-246.96,0.0,top
SW28,358.125,-246.96,0.0,top
SW29,381.95,-246.96,0.0,top
SW3,158.1,-227.91,0.0,top
SW30,415.275,-246.96,0.0,top
SW31,127.15,-265.985,0.0,top
SW32,153.3375,-266.01,0.0,top
SW33,172.3875,-266.01,0.0,top
SW34,191.4375,-266.01,0.0,top
SW35,210.4875,-266.01,0.0,top
SW36,229.5375,-266.01,0.0,top
SW37,248.5875,-266.01,0.0,top
SW38,267.6375,-266.01,0.0,top
SW39,286.6875,-266.01,0.0,top
SW4,177.15,-227.91,0.0,top
SW40,305.7375,-266.01,0.0,top
SW41,131.9,-288.0575,0.0,top
SW42,324.7875,-266.01,0.0,top
SW43,343.8375,-266.01,0.0,top
SW44,374.7875,-269.0075,0.0,top
SW45,415.275,-266.01,0.0,top
SW46,162.8625,-285.06,0.0,top
SW47,181.9125,-285.06,0.0,top
SW48,200.9625,-285.06,0.0,top
SW49,365.2625,-288.0575,0.0,top
SW5,196.2,-227.91,0.0,top
SW50,220.0125,-285.06,0.0,top
SW51,239.0625,-285.06,0.0,top
SW52,258.1125,-285.06,0.0,top
SW53,277.1625,-285.06,0.0,top
SW54,296.2125,-285.06,0.0,top
SW55,315.2625,-285.06,0.0,top
SW56,334.3125,-285.06,0.0,top
SW57,396.225,-285.06,0.0,top
SW58,122.4,-304.11,0.0,top
SW59,165.2625,-304.11,0.0,top
SW6,215.25,-227.91,0.0,top
